recipient_key	recipient_name	parent_name	candidate_ticker	basis
707d6ba0-1a69-315e-5c43-ed322b2029ed-C	YOUNG & RUBICAM LLC	WPP PLC	WPP	parent-name
713cfd25-bd59-e2bc-6f5e-643305508622-C	WIND RIVER SYSTEMS, INC.	INTEL CORPORATION	INTC	parent-name
7170bc0d-a4dc-4b5f-49d4-bffd5d159970-C	SPX AIDS TO NAVIGATION, LLC	SPX CORPORATION	SPXC	parent-name
71a58244-ee49-c0e8-764f-0103af941762-C	MILLERKNOLL INC		MLKN	own-name
71b54b3f-92e0-d636-616b-6bff5be7d76e-C	NUVASIVE CLINICAL SERVICES MONITORING, INC.	GLOBUS MEDICAL, INC.	GMED	parent-name
71b75ca8-519e-df1c-d478-52eb9a69e9c3-C	TEREX CORPORATION		TEX	own-name
72559450-0f09-e12b-024d-743eeeffb054-C	HONEYWELL INTERNATIONAL INC.		HON	own-name
7261cb38-689d-0370-e6db-897eb1e5aa32-C	AURIS HEALTH, INC	JOHNSON & JOHNSON	JNJ	parent-name
72827cbd-31d1-c872-d5b4-0c9b25253f7d-C	SNAP-ON TOOLS INTERNATIONAL, LLC	SNAP-ON INCORPORATED	SNA	parent-name
72cdcd20-1c98-67b4-b744-6c119c53377a-C	FLOWERS BAKING CO OF DENTON, LLC	FLOWERS FOODS INC	FLO	parent-name
73e4ede0-fada-8100-d103-da8154e69dd3-C	B9 SELECT RESI VA OWNER LLC	RYMAN HOSPITALITY PROPERTIES, INC.	RHP	parent-name
769befe2-3919-53e9-5f0f-430397a863b0-C	SOUTHWEST GAS CORPORATION		SWX	own-name
7743786a-287f-b18c-2bc2-3bdc23e728a4-C	HEALTHEQUITY, INC.		HQY	own-name
779b3e3e-364f-7cbc-28a4-a2b4484b86f4-C	LOCKHEED MARTIN CORPORATION		LMT	own-name
77ac8374-ea6a-12e4-de3d-54719e3a0bcf-C	HONEYWELL INTERNATIONAL INC		HON	own-name
784eb51b-b1af-f697-80e4-06385f31b860-C	CEB INC.	GARTNER, INC.	IT	parent-name
